<table border="1" class="dataframe">
  <thead>
    <tr style="text-align: right;">
      <th></th>
      <th>sepal length (cm)</th>
      <th>sepal width (cm)</th>
      <th>petal length (cm)</th>
      <th>petal width (cm)</th>
      <th>species</th>
      <th>pred_species</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>52 </th>
      <td> 6.9</td>
      <td> 3.1</td>
      <td> 4.9</td>
      <td> 1.5</td>
      <td> 1</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>77 </th>
      <td> 6.7</td>
      <td> 3.0</td>
      <td> 5.0</td>
      <td> 1.7</td>
      <td> 1</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>100</th>
      <td> 6.3</td>
      <td> 3.3</td>
      <td> 6.0</td>
      <td> 2.5</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>102</th>
      <td> 7.1</td>
      <td> 3.0</td>
      <td> 5.9</td>
      <td> 2.1</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>103</th>
      <td> 6.3</td>
      <td> 2.9</td>
      <td> 5.6</td>
      <td> 1.8</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>104</th>
      <td> 6.5</td>
      <td> 3.0</td>
      <td> 5.8</td>
      <td> 2.2</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>105</th>
      <td> 7.6</td>
      <td> 3.0</td>
      <td> 6.6</td>
      <td> 2.1</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>107</th>
      <td> 7.3</td>
      <td> 2.9</td>
      <td> 6.3</td>
      <td> 1.8</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>108</th>
      <td> 6.7</td>
      <td> 2.5</td>
      <td> 5.8</td>
      <td> 1.8</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>109</th>
      <td> 7.2</td>
      <td> 3.6</td>
      <td> 6.1</td>
      <td> 2.5</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>110</th>
      <td> 6.5</td>
      <td> 3.2</td>
      <td> 5.1</td>
      <td> 2.0</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>111</th>
      <td> 6.4</td>
      <td> 2.7</td>
      <td> 5.3</td>
      <td> 1.9</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>112</th>
      <td> 6.8</td>
      <td> 3.0</td>
      <td> 5.5</td>
      <td> 2.1</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>115</th>
      <td> 6.4</td>
      <td> 3.2</td>
      <td> 5.3</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>116</th>
      <td> 6.5</td>
      <td> 3.0</td>
      <td> 5.5</td>
      <td> 1.8</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>117</th>
      <td> 7.7</td>
      <td> 3.8</td>
      <td> 6.7</td>
      <td> 2.2</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>118</th>
      <td> 7.7</td>
      <td> 2.6</td>
      <td> 6.9</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>120</th>
      <td> 6.9</td>
      <td> 3.2</td>
      <td> 5.7</td>
      <td> 2.3</td>
